x	y	zb	h	qx	qy
227435.335	2564525.865	591.827		1.78046	1.8131	-7.03809
227155.747	2563514.544	584.060		0	0	0
226971.222	2564234.292	689.373		0	0	0
226766.767	2563882.603	665.160		0	0	0
227134.268	2563498.717	583.663		0	0	0
226538.677	2563376.204	630.163		0	0	0
227432.591	2564520.210	591.687		1.69537	1.23672	-6.91534
226631.354	2562914.716	624.283		0	0	0
227053.114	2562082.959	620.257		0	0	0
226487.948	2562248.399	592.500		0	0	0
226554.215	2563028.202	653.063		0	0	0
226380.733	2562103.458	571.093		0	0	0
226544.544	2563044.448	643.810		0	0	0
226471.467	2562003.733	540.157		0	0	0
227171.304	2562607.487	597.130		0	0	0
226564.878	2562290.995	589.720		0	0	0
226776.541	2563868.718	663.937		0	0	0
226600.437	2562313.362	593.670		0	0	0
226342.929	2562088.124	573.540		0	0	0
227383.402	2564541.366	594.197		2.14783	-4.0433	-4.05085
226463.205	2563236.713	639.607		0	0	0
227257.064	2564552.627	592.457		0.788254	-0.642979	-3.34461
226310.956	2562031.508	563.670		0	0	0
227216.276	2562490.282	588.097		0	0	0
227509.980	2564181.458	612.793		0	0	0
227453.061	2564357.098	591.900		0	0	0
227387.929	2564540.818	595.373		1.07919	-3.25707	-2.97137
227247.347	2562443.140	573.280		0	0	0
226388.646	2562019.147	545.687		0	0	0
226463.806	2563159.600	659.330		0	0	0
227432.490	2564386.302	592.190		0	0	0
227115.598	2562822.294	584.820		0	0	0
226720.340	2562754.047	636.703		0	0	0
226725.327	2563822.379	661.350		0	0	0
226759.027	2563866.633	663.893		0	0	0
226979.073	2562039.995	576.320		0	0	0
227187.095	2562562.288	595.517		0	0	0
227507.325	2564208.649	612.120		0	0	0
226704.494	2562750.233	645.823		0	0	0
226863.218	2564044.972	668.623		0	0	0
227111.757	2562819.815	583.183		0	0	0
227109.940	2563364.614	621.863		0	0	0
227005.408	2564295.531	676.483		0	0	0
227191.627	2563550.728	583.533		0	0	0
227138.402	2562781.337	587.727		0	0	0
227128.469	2562134.941	643.267		0	0	0
226316.014	2562020.917	562.247		0	0	0
226494.227	2563336.709	637.287		0	0	0
227283.557	2562343.925	615.827		0	0	0
227125.872	2563436.819	615.557		0	0	0
226597.793	2562319.214	594.380		0	0	0
226526.262	2563410.002	617.263		0	0	0
227124.125	2563408.770	622.353		0	0	0
227136.444	2563513.883	579.237		0	0	0
227267.550	2564556.941	592.527		1.31301	-0.664561	-4.53903
227182.700	2562581.094	596.200		0	0	0
227135.180	2562777.526	588.197		0	0	0
226741.193	2562426.638	625.593		0	0	0
227139.330	2563478.265	598.250		0	0	0
226478.354	2563145.837	645.873		0	0	0
226535.943	2561989.415	537.427		0	0	0
226521.851	2563067.033	637.483		0	0	0
227127.937	2562130.053	643.553		0	0	0
227511.490	2564030.449	609.910		0	0	0
227138.348	2563494.164	585.380		0	0	0
226651.467	2562869.191	635.663		0	0	0
226511.185	2563094.796	632.433		0	0	0
226493.252	2562248.258	592.313		0	0	0
227073.669	2562089.086	631.863		0	0	0
227065.116	2562083.605	630.683		0	0	0
226888.279	2564102.932	678.527		0	0	0
227145.030	2562684.607	594.833		0	0	0
227133.304	2562790.716	586.667		0	0	0
227146.592	2564566.609	591.367		1.0112	-0.163082	-3.97371
227130.493	2563421.744	622.230		0	0	0
226535.889	2563453.622	594.577		0	0	0
226743.647	2562431.292	627.107		0	0	0
226567.230	2562295.990	589.220		0	0	0
226759.379	2562582.371	615.870		0	0	0
226409.564	2562195.391	590.970		0	0	0
226679.763	2563731.081	650.790		0	0	0
227296.679	2564553.721	592.523		1.46944	-1.05985	-4.71082
226665.405	2562838.999	649.453		0	0	0
227439.997	2564393.359	592.377		0	0	0
226498.483	2561996.270	539.363		0	0	0
226741.566	2562579.654	635.757		0	0	0
226569.628	2563627.846	645.107		0	0	0
226488.848	2562000.564	539.947		0	0	0
227127.900	2563442.277	615.627		0	0	0
227336.661	2563703.877	620.477		0	0	0
226550.280	2562284.903	592.800		0	0	0
227069.831	2564355.228	623.660		0	0	0
227077.521	2564368.216	617.170		0	0	0
226715.103	2561982.001	536.680		0	0	0
226713.321	2562726.844	648.403		0	0	0
227472.923	2564302.663	602.977		0	0	0
227128.853	2563463.571	608.530		0	0	0
227137.608	2562787.943	587.480		0	0	0
227309.603	2564542.028	592.467		1.2895	-1.67947	-4.37531
226690.691	2561964.259	536.330		0	0	0
226305.717	2562022.429	563.830		0	0	0
226488.608	2563134.503	634.577		0	0	0
227432.612	2563811.146	636.123		0	0	0
226756.975	2562577.122	622.573		0	0	0
226734.915	2562538.427	640.337		0	0	0
226625.923	2562329.901	594.393		0	0	0
226372.649	2562097.502	569.997		0	0	0
226530.333	2562278.764	592.553		0	0	0
226597.102	2562309.964	593.507		0	0	0
226545.566	2563399.169	613.163		0	0	0
227211.662	2562235.890	643.310		0	0	0
226840.110	2564002.110	653.547		0	0	0
227277.454	2564555.708	592.580		1.30467	-0.741147	-4.48064
226492.442	2563332.495	633.870		0	0	0
226731.088	2562506.710	627.557		0	0	0
226730.745	2562517.119	633.223		0	0	0
226738.190	2562583.771	638.290		0	0	0
226482.983	2563136.969	639.800		0	0	0
227379.407	2564536.002	594.040		2.12257	-1.42424	-0.681747
227442.647	2564383.048	592.177		0	0	0
227475.896	2564306.196	606.383		0	0	0
226535.503	2563459.494	593.567		0	0	0
227235.344	2564556.897	590.830		2.0342	-3.40555	-4.18802
226710.857	2562721.236	651.813		0	0	0
226720.022	2562717.015	645.587		0	0	0
226777.401	2563894.276	665.580		0	0	0
227170.821	2562183.471	644.917		0	0	0
226889.154	2564093.206	677.403		0	0	0
227054.506	2562072.592	616.967		0	0	0
226584.400	2561982.197	536.123		0	0	0
227251.786	2562408.588	573.383		0	0	0
226730.045	2562613.200	633.670		0	0	0
226728.507	2562537.373	641.963		0	0	0
226824.931	2563969.335	648.367		0	0	0
226708.294	2561991.336	536.900		0	0	0
226699.286	2561995.435	536.927		0	0	0
226872.893	2561960.391	572.813		0	0	0
226727.721	2561958.163	536.117		0	0	0
226938.467	2561995.358	574.157		0	0	0
227465.678	2564333.558	591.357		0	0	0
227425.715	2564509.653	591.377		1.48484	0.80747	-3.90305
226559.991	2563591.133	638.320		0	0	0
227508.311	2564187.425	612.703		0	0	0
227150.848	2563516.144	583.163		0	0	0
227288.580	2562340.883	619.090		0	0	0
226682.613	2563735.629	651.890		0	0	0
226672.252	2563757.493	656.033		0	0	0
227135.351	2563475.673	598.363		0	0	0
226548.237	2563547.611	614.927		0	0	0
227493.390	2563962.913	609.310		0	0	0
226656.845	2563725.032	653.913		0	0	0
227434.535	2564469.209	592.703		0.704207	-0.20102	-0.0757304
226867.654	2561960.273	575.973		0	0	0
227161.959	2562656.204	597.843		0	0	0
226716.340	2561971.928	536.293		0	0	0
226902.192	2564127.641	680.910		0	0	0
227437.712	2564472.515	592.350		1.10721	-0.257185	-0.139658
227138.770	2562137.671	645.283		0	0	0
227116.346	2564549.093	590.723		1.34796	0.00998214	-4.6345
226630.481	2561973.049	536.907		0	0	0
227513.058	2564144.151	612.067		0	0	0
226699.342	2562777.623	645.147		0	0	0
226605.768	2561980.363	536.350		0	0	0
226445.832	2563202.939	658.773		0	0	0
226555.297	2561984.745	536.440		0	0	0
227110.873	2562704.886	587.593		0	0	0
226769.992	2563878.138	664.657		0	0	0
227157.833	2562660.523	598.477		0	0	0
226631.599	2562330.249	594.470		0	0	0
227227.769	2562250.556	642.890		0	0	0
226537.559	2563054.791	638.150		0	0	0
227133.860	2562138.782	643.900		0	0	0
227189.562	2562566.787	596.010		0	0	0
227360.927	2564522.399	592.570		1.60714	-4.79848	-7.01872
226607.480	2563674.263	651.197		0	0	0
227504.044	2564189.706	612.547		0	0	0
227315.611	2564542.375	592.697		1.14891	-1.49369	-4.15239
226534.442	2562273.675	592.387		0	0	0
227528.789	2564102.728	615.667		0	0	0
226727.119	2562722.779	644.637		0	0	0
227153.473	2562690.927	595.647		0	0	0
227152.157	2562700.818	594.890		0	0	0
227036.658	2562071.357	599.277		0	0	0
226623.081	2562324.390	594.157		0	0	0
227493.425	2564221.613	609.097		0	0	0
227152.161	2562659.480	597.417		0	0	0
227529.387	2564097.149	616.723		0	0	0
227161.884	2562650.882	597.923		0	0	0
226586.446	2562977.315	632.697		0	0	0
226896.274	2564109.474	678.777		0	0	0
227116.845	2563456.176	606.843		0	0	0
226752.519	2562566.385	628.740		0	0	0
227241.140	2562434.957	572.360		0	0	0
226792.391	2561947.175	554.703		0	0	0
226526.541	2563075.814	622.587		0	0	0
226367.403	2562122.403	580.040		0	0	0
226709.835	2562731.251	649.447		0	0	0
226632.739	2563685.258	650.410		0	0	0
226428.427	2562003.130	540.403		0	0	0
226418.825	2562005.198	540.137		0	0	0
227021.202	2564301.140	663.723		0	0	0
226356.900	2562097.580	573.223		0	0	0
226925.033	2564163.227	683.750		0	0	0
227450.212	2563844.454	615.487		0	0	0
226398.604	2562181.384	590.630		0	0	0
227081.493	2564379.329	608.793		0	0	0
227009.329	2564292.402	673.997		0	0	0
226868.133	2564055.795	673.837		0	0	0
